Player,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Nemanja Aleksandrov,PF-SF,-%,-,-,6' 10'',7' 0'',9' 2'',220.6,6' 11''
Nerlens Noel,C,4.15%,9.50,10.00,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75''
Nick George,SF-SG,6.00%,-,-,6' 4'',6' 5.75'',8' 7'',201.0,6' 10''
Nick Johnson,SG,6.05%,8.75,9.75,6' 1.5'',6' 3'',8' 0.5'',198.0,6' 7.25''
Nick Young,SG-SF,6.80%,-,-,6' 5'',6' 6.75'',8' 4.5'',206.0,7' 0''
Nickeil Alexander-Walker,SG,5.90%,8.50,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5''
Nicolas Claxton,C,4.50%,9.25,9.50,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5''
Nigel Hayes,PF,11.50%,8.75,10.00,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25''
Nigel Hayes,SF-PF,10.90%,8.50,9.50,6' 6.25'',6' 7.25'',8' 11.5'',245.0,7' 3''
Nigel Williams-Goss,PG,5.60%,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25''
Nik Caner-Medley,SF,9.60%,-,-,6' 6.5'',6' 8'',8' 7'',234.0,6' 9''
Nik Stauskas,SG,12.05%,8.50,8.50,6' 5.25'',6' 6.5'',8' 6'',206.9,6' 7.75''
Nikola Vucevic,PF-C,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5''
Noah Vonleh,PF,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25''
Nolan Smith,PG,5.60%,8.50,9.25,6' 1.5'',6' 3.5'',8' 3'',187.6,6' 5.5''
Norman Powell,SG,6.40%,9.25,9.00,6' 3'',6' 4.25'',8' 6.5'',215.4,6' 10.75''
Norris Cole,PG,4.70%,8.50,9.50,6' 0.25'',6' 1.75'',7' 11.5'',174.4,6' 2.25''
Norvel Pelle,PF-C,5.15%,8.75,9.50,6' 9.5'',6' 10.5'',9' 1'',207.2,7' 2.5''
O'Shae Brissett,SF-PF,2.90%,9.00,9.50,6' 7'',6' 8'',8' 8'',203.2,7' 0''
O.J. Mayo,SG-PG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 3.5'',200.0,6' 6''
OG Anunoby,SF,6.80%,9.25,9.50,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25''
Olivier Hanlan,PG-SG,4.30%,8.00,8.75,6' 3.25'',6' 4.25'',8' 4'',185.8,6' 6''
Omar Quintero,PG,14.10%,-,-,5' 9.75'',5' 11.25'',7' 8.5'',170.0,5' 11.5''
Omar Thomas,SF-SG,-%,-,-,6' 3.25'',6' 4.5'',8' 6'',200.0,6' 8''
Omari Spellman,PF-C,13.75%,9.00,9.00,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
Omer Yurtseven,C,7.60%,9.00,10.50,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1''
Omri Casspi,SF,8.60%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',211.2,6' 9.25''
Orlando Johnson,SG,7.00%,9.00,9.50,6' 3.75'',6' 5.25'',8' 3'',223.8,6' 11.25''
Othello Hunter,PF-SF,6.40%,-,-,6' 6.5'',6' 7.5'',9' 1.5'',220.0,7' 3''
Otto Porter,SF,6.65%,8.75,9.25,6' 7.5'',6' 8.5'',8' 9.5'',197.6,7' 1.5''
P.J. Hairston,SG,8.20%,8.75,9.75,6' 4.25'',6' 5.25'',8' 5'',228.8,6' 9''
P.J. Washington,PF,8.60%,9.00,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25''
PJ Dozier,SG,6.10%,8.50,9.50,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11''
PJ Washington,PF,6.85%,9.00,10.25,6' 6.5'',6' 8'',8' 11'',223.0,7' 2.5''
Pape Sow,PF-C,9.30%,-,-,6' 8.5'',6' 10'',9' 0.5'',233.0,7' 2''
Pascal Siakam,PF,5.20%,9.25,10.00,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25''
Pat Calathes,SF-PF,7.30%,-,-,6' 8.75'',6' 9.75'',8' 10'',204.0,6' 9.75''
Pat Connaughton,SG,10.20%,8.50,9.25,6' 4'',6' 5.25'',8' 0'',215.0,6' 8''
Patric Young,PF,5.45%,9.25,9.50,6' 8.5'',6' 10'',8' 7.5'',246.8,7' 1.75''
Patrick Ewing Jr.,SF-PF,9.40%,-,-,6' 6'',6' 7.25'',8' 1.5'',224.0,7' 0.25''
Patrick McCaw,PG-SG,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10''
Patrick O'Bryant,C,10.00%,-,-,6' 11'',7' 0'',9' 5'',249.0,7' 5.75''
Patrick Patterson,PF,5.30%,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25''
Patty Mills,PG,6.90%,-,-,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2''
Paul George,SF,5.00%,8.50,9.00,6' 7.75'',6' 8.75'',8' 11'',214.4,6' 11.25''
Paul Miller,PF-C,13.80%,-,-,6' 8.5'',6' 9.25'',8' 5.5'',251.0,7' 0''
Paul Millsap,PF,9.70%,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258.0,7' 1.5''
Perry Ellis,PF,4.60%,8.00,8.50,6' 7'',6' 8.25'',8' 6'',217.8,6' 10.25''
Perry Jones,PF-SF,4.60%,9.25,9.50,6' 10.25'',6' 11.25'',8' 11'',233.8,7' 1.75''
Peter Jok,SG-SF,11.00%,8.25,9.50,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8''
Peter Ramos,C,6.70%,-,-,7' 1.75'',7' 3.25'',9' 3.5'',266.0,7' 5.5''
Peyton Siva,PG,6.05%,8.00,9.75,5' 11.5'',6' 1'',7' 9'',180.6,6' 3''
Phil Pressey,PG,4.70%,7.75,9.75,5' 9.5'',5' 11.5'',7' 8'',177.0,6' 2.25''
Pierre Jackson,PG,4.50%,7.50,8.25,5' 9.5'',5' 10.5'',7' 6'',176.0,5' 10''
Pops Mensah-Bonsu,PF-C,5.80%,-,-,6' 7.5'',6' 9'',8' 9.5'',232.0,7' 0''
Quan Prowell,SF-PF,6.50%,-,-,6' 6.75'',6' 7.75'',8' 7.5'',225.5,6' 10.5''
Quentin Grimes,SG,8.40%,8.25,10.00,6' 4'',6' 5.25'',8' 4.5'',209.6,6' 7.75''
Quincy Acy,PF,7.10%,9.50,11.00,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75''
Quincy Miller,SF,7.80%,9.25,10.25,6' 8.75'',6' 10'',8' 9'',218.7,7' 1.25''
Quinn Cook,PG,6.70%,7.50,8.75,6' 0.25'',6' 2'',8' 0.5'',179.0,6' 4''
Quinndary Weatherspoon,SG,6.10%,8.50,9.00,6' 3'',6' 4.25'',8' 4'',206.6,6' 9''
Quinton Hosley,SF-SG,5.70%,-,-,6' 5'',6' 7.75'',8' 9'',215.0,6' 11.25''
R.J. Hunter,SG,6.00%,8.50,8.25,6' 4.5'',6' 6'',8' 8'',185.0,6' 10.5''
Rakeem Christmas,PF-C,9.60%,9.25,9.00,6' 8.25'',6' 9.75'',9' 2.5'',242.6,7' 5.25''
Ramel Bradley,PG-SG,5.70%,-,-,6' 1.25'',6' 2.25'',8' 2'',184.0,6' 5''
Ramon Sessions,PG,6.20%,-,-,6' 2'',6' 3.75'',8' 1.5'',185.0,6' 4.25''
Randall Orr,PF-SF,6.70%,-,-,6' 9'',6' 10.75'',8' 11.5'',193.0,6' 10.5''
Randy Foye,SG-PG,10.00%,-,-,6' 2.25'',6' 3.25'',8' 1'',212.0,6' 6.25''
Rashad Anderson,SG,17.30%,-,-,6' 3.25'',6' 4.5'',8' 4'',224.0,6' 7''
Rashad Jones-Jennings,PF,5.90%,-,-,6' 6'',6' 7.5'',8' 9.5'',235.0,7' 0''
Rashad McCants,SG,-%,-,-,6' 2.75'',6' 4'',8' 7.5'',201.0,6' 10.75''
Rashad Vaughn,SG,6.20%,8.00,8.50,6' 3.75'',6' 5'',8' 5'',198.6,6' 7''
Rashad Wright,PG,8.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',190.0,6' 10''
Rashaun Freeman,PF,11.50%,-,-,6' 6'',6' 8'',8' 8'',244.0,6' 11.5''
Rawle Alkins,SG,8.90%,8.50,10.00,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75''
Rawle Alkins,SG-SF,11.00%,8.75,10.00,6' 2.5'',6' 3.75'',8' 3'',222.6,6' 8.75''
Rawle Marshall,SG-SF,-%,-,-,6' 4.5'',6' 5.75'',8' 8'',186.6,7' 1''
Ray McCallum,PG,7.30%,8.00,8.75,6' 0.25'',6' 1.75'',8' 0.5'',191.4,6' 3.25''
Ray Spalding,PF,5.55%,9.25,9.00,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75''
Raymond Felton,PG,-%,-,-,5' 11.5'',6' 0.25'',8' 2'',199.4,6' 4.25''
Reggie Bullock,SG-SF,6.95%,8.50,9.00,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75''
Reggie Perry,SF-PF,6.70%,9.00,10.00,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5''
Reggie Williams,SG,5.30%,-,-,6' 3.25'',6' 4'',8' 7'',199.0,6' 9.25''
Renaldas Seibutis,SG,6.10%,-,-,6' 4'',6' 5.75'',8' 5'',185.0,6' 8.75''
Renaldo Balkman,SF-PF,4.90%,-,-,6' 5.25'',6' 6.5'',8' 8.5'',206.0,7' 1''
Reyshawn Terry,SF,8.90%,-,-,6' 6.75'',6' 7.5'',8' 7.5'',222.0,6' 10''
Rich Melzer,PF-SF,12.40%,-,-,6' 7.5'',6' 8.75'',8' 11'',229.0,7' 2''
Richard Hendrix,PF,9.20%,-,-,6' 6.75'',6' 8.75'',9' 0'',250.0,7' 3''
Richard Howell,PF,8.75%,8.75,9.50,6' 6.25'',6' 7.5'',8' 9.5'',249.6,6' 10.25''
Richard Roby,SG-SF,9.20%,-,-,6' 4.25'',6' 5.5'',8' 8'',203.0,6' 9.75''
Richaun Holmes,PF,8.80%,8.50,8.50,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5''
Rick Jackson,PF,8.30%,8.75,9.50,6' 8.25'',6' 9.25'',8' 10.5'',241.8,7' 2''
Rickey Paulding,SG,5.30%,-,-,6' 2.75'',6' 4'',8' 5.5'',210.0,6' 9.5''
Ricky Ledo,SG,10.25%,8.50,9.25,6' 4.75'',6' 6'',8' 6.5'',197.2,6' 7.25''
Ricky Minard,PG-SG,8.00%,-,-,6' 3.25'',6' 4.25'',8' 5.5'',198.0,6' 7''
Robbie Hummel,SF,9.40%,8.50,9.50,6' 7.25'',6' 8.5'',8' 6'',218.0,6' 8.5''
Robert Covington,SF-PF,4.70%,9.00,8.50,6' 6.25'',6' 7.5'',8' 10'',208.6,7' 1.75''
Robert Upshaw,C,12.50%,10.00,11.00,6' 10.75'',7' 0'',9' 5'',258.2,7' 5.5''
Robert Vaden,SG,6.20%,-,-,6' 3.5'',6' 4.5'',8' 5'',199.0,6' 8''
Robert Whaley,PF-C,-%,-,-,6' 8'',6' 9'',9' 0'',269.4,7' 2''
Rodney Carney,SG-SF,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7.5'',204.0,6' 10''
Rodney Hood,SF,7.45%,8.50,8.50,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5''
Rodney Stuckey,SG-PG,6.10%,-,-,6' 3.75'',6' 4.5'',8' 4.5'',207.0,6' 7.25''
Rodrigue Beaubois,PG,7.90%,-,-,6' 1.25'',6' 2.25'',8' 4'',182.4,6' 9.75''
Roger Powell,SF,-%,-,-,6' 4.75'',6' 6'',8' 8'',218.6,6' 11.5''
Rolando Howell,PF,11.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',229.0,7' 0.5''
Romain Sato,SG,6.00%,-,-,6' 2'',6' 3.25'',8' 6.5'',204.0,6' 11''
Romeo Langford,SG,-%,9.00,9.00,6' 4.5'',6' 6'',8' 7'',-,6' 11''
Ron Baker,SG,7.85%,8.75,9.50,6' 3.25'',6' 4.25'',8' 1.5'',212.4,6' 9.75''
Ron Lewis,SG,4.50%,-,-,6' 2'',6' 4.5'',8' 3'',194.0,6' 6.5''
Ronald Steele,PG,8.10%,-,-,6' 0.25'',6' 1.5'',8' 1.5'',183.5,6' 4.25''
Rondae Hollis-Jefferson,SF,5.00%,8.75,9.75,6' 5.5'',6' 7'',8' 8'',210.8,7' 2''
Ronnie Brewer,SG-PG,5.00%,-,-,6' 5.75'',6' 6.75'',8' 7.5'',223.0,6' 11.25''
Ronnie Price,PG,-%,-,-,6' 0.75'',6' 2.25'',8' 0.5'',184.8,6' 5.5''
Ronny Turiaf,PF,-%,-,-,6' 8'',6' 9.25'',8' 10.5'',237.8,7' 1.5''
Royce White,PF,10.60%,9.50,11.50,6' 7'',6' 8'',8' 8.5'',260.6,7' 0''
Rudy Fernandez,SG,-%,-,-,6' 4.75'',6' 6'',8' 5.5'',172.0,6' 7.5''
Rudy Gay,SF-PF,5.70%,-,-,6' 7'',6' 8'',8' 11.5'',222.0,7' 3''
Rudy Gobert,C,4.40%,9.75,10.00,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5''
Russ Smith,PG,3.50%,8.25,8.50,5' 11.5'',6' 0.75'',7' 11'',160.0,6' 3.5''
Russell Carter,SG,6.00%,-,-,6' 3'',6' 4.5'',8' 1.5'',221.0,6' 8.5''
Russell Robinson,PG,7.40%,-,-,6' 0.5'',6' 1.5'',8' 4.5'',196.0,6' 8''
Russell Westbrook,PG,4.80%,-,-,6' 2.25'',6' 3.5'',8' 4'',192.0,6' 7.75''
Ryan Boatright,PG,6.60%,7.50,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5''
Ryan Gomes,SF-PF,-%,-,-,6' 6.5'',6' 7.75'',8' 10.5'',248.0,7' 2''
Ryan Kelly,PF,14.75%,9.00,10.00,6' 9.75'',6' 11.75'',9' 2'',228.0,6' 11.5''
Ryan Richards,PF,8.00%,9.00,9.75,6' 10.5'',6' 11.75'',9' 2'',230.2,7' 1.5''
Ryvon Covile,C-PF,8.00%,-,-,6' 7'',6' 8.5'',8' 11.5'',250.0,7' 1.25''
Sagaba Konate,C,7.35%,9.25,10.00,6' 6.5'',6' 7.5'',8' 10.5'',246.0,7' 0''
Sam Dekker,SF,7.50%,8.50,9.25,6' 7.75'',6' 9'',8' 10'',218.6,6' 11.5''
Sam Young,SF-SG,4.90%,-,-,6' 5.25'',6' 6.75'',8' 9.5'',222.8,6' 10.75''
Sammy Mejia,SG,8.30%,-,-,6' 5'',6' 7'',8' 9'',218.0,6' 11''
Sasha Kaun,C-PF,9.60%,-,-,6' 9'',6' 10.75'',9' 2'',247.0,7' 4''
Scott Machado,PG,5.80%,8.50,9.50,6' 1'',6' 2'',7' 10.5'',205.8,6' 4''
Scotty Hopson,SG,4.80%,8.50,10.00,6' 5.75'',6' 6.5'',8' 7.5'',204.6,6' 10.5''
Sean Banks,SF,-%,-,-,6' 5.75'',6' 7'',9' 0'',206.4,7' 1''
Sean Dockery,PG-SG,7.30%,-,-,6' 0.75'',6' 2'',7' 11.5'',182.0,6' 4.5''
Sean Kilpatrick,SG,9.20%,9.00,9.00,6' 2.5'',6' 4.25'',8' 3'',218.7,6' 7''
Sean May,PF,-%,-,-,6' 7'',6' 8.5'',8' 9'',258.8,7' 1.25''
Sean Singletary,PG,4.20%,-,-,5' 11'',6' 0'',7' 11'',183.8,6' 4.5''
Semaj Christon,PG,5.25%,8.50,8.25,6' 1.5'',6' 3.25'',8' 3'',186.0,6' 6.5''
Semi Ojeleye,SF-SG,5.50%,8.75,9.50,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75''
Sergei Lishouk,PF-SF,10.50%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',244.0,7' 0''
Seth Curry,SG,9.60%,8.00,8.25,6' 1'',6' 3'',8' 1.5'',179.2,6' 4''
Shabazz Muhammad,SF-SG,9.00%,9.00,10.00,6' 4.75'',6' 6.25'',8' 8.5'',221.8,6' 11''
Shabazz Napier,PG,7.35%,8.25,8.50,5' 11'',6' 1'',7' 9'',175.2,6' 3.25''
Shai Gilgeous-Alexander,PG,3.00%,9.00,9.00,6' 4.5'',6' 6'',8' 8'',180.0,6' 11.5''
Shake Milton,SG-PG,6.80%,8.75,9.50,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
Shamorie Ponds,PG,9.80%,7.75,8.00,5' 11.5'',6' 0.5'',8' 0.5'',180.0,6' 3.5''
Shan Foster,SG,6.30%,-,-,6' 4'',6' 5.25'',8' 7.5'',194.5,6' 11.5''
Shane Larkin,PG,3.80%,7.50,8.75,5' 10.25'',5' 11.5'',7' 5.5'',170.8,5' 10.75''
Sharrod Ford,PF,-%,-,-,6' 7.25'',6' 8.25'',8' 10'',212.8,7' 1.5''
Shaun Livingston,PG-SG,6.70%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',186.0,6' 11''
Shaun Pruitt,C-PF,13.80%,-,-,6' 8.25'',6' 9'',8' 11.5'',242.2,7' 1''
Shawn James,PF,9.20%,-,-,6' 7.75'',6' 9'',9' 3'',217.0,7' 5''
Shawne Williams,SF-PF,8.00%,-,-,6' 7.25'',6' 8.75'',8' 8'',227.0,7' 3''
Shelden Williams,PF-C,11.40%,-,-,6' 7.5'',6' 8.5'',8' 8'',258.0,7' 4.25''
Shelvin Mack,PG,7.10%,8.25,9.25,6' 1'',6' 2.5'',8' 0.5'',209.0,6' 7.5''
Sherron Collins,PG,9.20%,8.50,9.50,5' 10.25'',5' 11.75'',7' 10'',217.2,6' 2.5''
Simisola Shittu,PF,6.20%,8.75,8.50,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25''
Sindarius Thornwell,SG-SF,7.80%,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10''
Skal Labissiere,PF-C,5.70%,8.75,9.00,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5''
Solomon Alabi,C,5.00%,9.25,9.25,6' 11.5'',7' 0.75'',9' 5'',237.4,7' 5''
Solomon Hill,SF,7.60%,9.00,10.50,6' 5.5'',6' 7'',8' 7'',226.0,6' 9''
Solomon Jones,PF-C,7.40%,-,-,6' 8.5'',6' 9.75'',9' 1'',224.0,7' 4.75''
Sonny Weems,SG-SF,4.40%,-,-,6' 4'',6' 5.5'',8' 8'',193.0,6' 10''
Spencer Dinwiddie,PG,5.35%,8.25,9.00,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25''
Spencer Hawes,PF,13.00%,-,-,6' 10'',7' 0.75'',9' 2'',244.0,7' 0.5''
Stanley Burrell,PG,5.60%,-,-,6' 1.5'',6' 2.5'',8' 1.5'',201.0,6' 6.25''
Stanley Johnson,SF,7.50%,9.00,9.00,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5''
Stanley Robinson,SF,8.30%,9.00,9.00,6' 6.5'',6' 7.75'',8' 11.5'',213.2,7' 0''
Stephane Lasme,PF,4.90%,-,-,6' 5'',6' 7'',8' 11'',213.0,7' 2''
Stephen Curry,PG-SG,5.70%,-,-,6' 2'',6' 3.25'',8' 1'',181.0,6' 3.5''
Stephen Zimmerman,C,11.15%,9.00,9.00,6' 10.25'',6' 11.75'',9' 0.5'',234.0,7' 3.25''
Steve Novak,SF,8.10%,-,-,6' 8'',6' 9.25'',8' 7'',216.0,6' 9.5''
Steven Adams,C,6.65%,9.50,11.00,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5''
Steven Smith,SF-PF,7.80%,-,-,6' 7.5'',6' 9.25'',8' 8'',238.0,7' 0.5''
Svi Mykhailiuk,SG-SF,11.40%,8.00,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5''
Sviatoslav Mykhailiuk,SG-SF,8.45%,8.25,9.50,6' 6.5'',6' 7.75'',8' 4'',211.6,6' 4.75''
Sylven Landesberg,SG,11.60%,8.75,10.75,6' 4.75'',6' 6.25'',8' 4.5'',210.0,6' 9''
T.J. Warren,SF,7.95%,8.75,9.00,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25''
TJ Cummings,SF,6.70%,-,-,6' 7.5'',6' 8.75'',8' 10.5'',215.0,6' 9.5''
TJ Leaf,PF,6.80%,8.50,9.50,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11''
TJ McConnell,PG,7.30%,7.50,7.00,6' 0.5'',6' 2'',8' 0.5'',187.8,6' 2''
Tacko Fall,C,6.80%,10.50,10.50,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25''
Taj Gibson,PF,6.60%,-,-,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4''
Taj Gray,PF-SF,6.80%,-,-,6' 7.25'',6' 8.5'',8' 11'',231.0,7' 0.75''
Takais Brown,PF,9.20%,-,-,6' 7.25'',6' 8.5'',8' 10'',252.0,6' 10''
Talen Horton-Tucker,SG,8.40%,9.50,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25''
Taquan Dean,SG-PG,3.90%,-,-,6' 2'',6' 3'',8' 2'',183.0,6' 6.75''
Tarence Kinsey,SF-SG,4.10%,-,-,6' 4.75'',6' 5.5'',8' 4.5'',179.0,6' 6.75''
Taurean Green,PG,4.60%,-,-,5' 11'',6' 0.75'',8' 0'',173.0,6' 2.25''
Taurean Prince,SF,6.45%,9.00,8.50,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5''
Taylor Coppenrath,PF-SF,-%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',252.4,6' 11.5''
Tedric Hill,SF-PF,7.30%,-,-,6' 7.75'',6' 9'',8' 11'',236.0,7' 1''
Terance Mann,SG-SF,4.00%,9.50,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75''
Terence Davis,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75''
Terence Dials,PF-C,15.80%,-,-,6' 7.75'',6' 9'',8' 10'',253.0,7' 0''
Terran Petteway,SG,4.90%,8.25,8.25,6' 4.75'',6' 6'',8' 8.5'',209.2,6' 11.25''
Terrance Ferguson,SG-SF,5.80%,8.50,10.00,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75''
Terrence Jones,PF-SF,7.70%,9.00,10.00,6' 8.25'',6' 9.5'',8' 11'',252.0,7' 2.25''
Terrence Ross,SG-SF,3.20%,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25''
Terrence Williams,SG-SF,5.10%,-,-,6' 5'',6' 6.25'',8' 7.5'',213.2,6' 9''
Terrico White,SG-PG,3.70%,9.00,10.50,6' 3.75'',6' 5'',8' 5'',202.6,6' 9''
Terry Rozier,PG-SG,5.60%,8.25,8.50,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25''
Thaddeus Young,SF,4.90%,-,-,6' 5.75'',6' 7.5'',8' 10'',210.0,6' 11.5''
Thanasis Antetokounmpo,SF,6.05%,9.00,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0''
Theo Pinson,SG-SF,7.35%,9.00,9.00,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75''
Thomas Bryant,PF-C,9.40%,9.50,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6''
Thomas Robinson,PF,5.00%,9.75,10.50,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25''
Thomas Welsh,PF-C,10.90%,9.00,10.50,6' 11.5'',7' 0.5'',9' 1.5'',254.0,7' 0''
Thon Maker,PF,6.05%,8.75,9.50,6' 11.75'',7' 0.75'',9' 2.5'',216.0,7' 3''
Tiago Splitter,C-PF,5.30%,-,-,6' 10.25'',6' 11.75'',9' 1.5'',233.0,7' 2''
Tim Bowers,PG-SG,2.60%,-,-,6' 0.5'',6' 1.75'',8' 2'',181.0,6' 9''
Tim Hardaway Jr.,SG,6.05%,8.00,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7''
Tim Pickett,PG-SG,6.00%,-,-,6' 3'',6' 4.25'',8' 4.5'',207.0,6' 7.5''
Tobias Harris,SF-PF,8.40%,8.75,9.00,6' 6.5'',6' 7.75'',8' 7.5'',222.8,6' 11''
Tom Timmerrmans,PF-C,15.20%,-,-,6' 10.5'',6' 11.5'',8' 11.5'',272.0,6' 11''
Tomas Satoransky,PG-SG,5.20%,8.50,9.50,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25''
Toney Douglas,PG,5.20%,-,-,6' 1'',6' 2'',8' 1.5'',183.4,6' 6''
Tony Allen,SG,6.70%,-,-,6' 3.5'',6' 4.25'',8' 6'',214.0,6' 9''
Tony Bobbitt,SG,7.30%,-,-,6' 2.75'',6' 4'',8' 4'',185.0,6' 7''
Tony Bradley,C,12.00%,9.50,9.50,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5''
Tony Carr,PG,6.50%,8.50,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25''
Tony Mitchell,PF-SF,5.55%,9.00,10.00,6' 7.5'',6' 8.75'',8' 10.5'',236.4,7' 2.5''
Tony Mitchell,SG,5.70%,8.50,10.00,6' 5.25'',6' 6.25'',8' 4'',216.4,6' 10''
Tony Snell,SF-SG,4.85%,9.00,9.50,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5''
Tony Wroten,PG,5.20%,8.00,9.00,6' 4.75'',6' 6'',8' 5'',203.2,6' 9''
Torin Francis,PF-C,12.40%,-,-,6' 9'',6' 10'',8' 9.5'',247.0,7' 1''
Trae Young,PG,5.35%,8.00,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3''
Travis Diener,PG-SG,-%,-,-,5' 11.75'',6' 1'',7' 9.5'',165.2,5' 11.75''
Travis Leslie,SG,8.10%,8.75,9.25,6' 3'',6' 4.25'',8' 7'',205.0,6' 10.5''
Tre Simmons,SG-SF,-%,-,-,6' 4'',6' 5'',8' 6.5'',194.2,6' 7.5''
Tremont Waters,PG,6.60%,8.00,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25''
Trent Plaisted,PF,11.00%,-,-,6' 9.25'',6' 10.25'',8' 9.5'',240.0,6' 10.5''
Treveon Graham,SF,5.50%,8.50,8.25,6' 4'',6' 5.75'',8' 7'',219.4,6' 10.5''
Trevon Duval,PG,5.20%,8.75,10.00,6' 1.5'',6' 2.5'',8' 1.5'',191.0,6' 8.25''
Trevor Ariza,SG-SF,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201.0,7' 2''
Trevor Booker,PF,7.30%,9.00,9.50,6' 6.25'',6' 7.5'',8' 10'',235.8,6' 9.75''
Trevor Mbakwe,PF,5.90%,9.50,11.50,6' 6.75'',6' 8'',8' 10.5'',235.8,7' 4''
Trey Burke,PG,6.90%,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187.0,6' 5.5''
Trey Johnson,SG,5.40%,-,-,6' 3'',6' 5.75'',8' 2'',216.0,6' 5''
Trey Lyles,PF,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5''
Trey Thompkins,PF,15.50%,9.25,9.75,6' 8.5'',6' 9.75'',8' 11.5'',239.0,7' 1''
